OH_Number,Session_Folder,Lesson_File,File_Index,Lesson_ID,Wistia_ID,Lesson_Title,Program,Chapter,Problem_Number
15,02-Office-Hours-15-May-28-2021,00-Lesson-24863026.md,0,Lesson-24863026,,Thermo 5,HVAC,Thermodynamics,5
15,02-Office-Hours-15-May-28-2021,01-Lesson-24863012.md,1,Lesson-24863012,,Thermo 8,HVAC,Thermodynamics,8
15,02-Office-Hours-15-May-28-2021,02-Lesson-24862997.md,2,Lesson-24862997,,Thermo 12,HVAC,Thermodynamics,12
15,02-Office-Hours-15-May-28-2021,03-Lesson-24863016.md,3,Lesson-24863016,,Thermo 21,HVAC,Thermodynamics,21
15,02-Office-Hours-15-May-28-2021,04-Lesson-24863024.md,4,Lesson-24863024,,Thermo 23,HVAC,Thermodynamics,23
15,02-Office-Hours-15-May-28-2021,05-Lesson-24862965.md,5,Lesson-24862965,,Fluids 10,HVAC,Fluids,10
15,02-Office-Hours-15-May-28-2021,06-Lesson-24863005.md,6,Lesson-24863005,,Psychrometrics  4,HVAC,Psychrometrics,4
15,02-Office-Hours-15-May-28-2021,07-Lesson-24863025.md,7,Lesson-24863025,,Heat Transfer 3,HVAC,Heat Transfer,3
15,02-Office-Hours-15-May-28-2021,08-Lesson-24862990.md,8,Lesson-24862990,,Heat Transfer 6,HVAC,Heat Transfer,6
15,02-Office-Hours-15-May-28-2021,09-Lesson-24863027.md,9,Lesson-24863027,,Heat Transfer 16,HVAC,Heat Transfer,16
15,02-Office-Hours-15-May-28-2021,10-Lesson-24862978.md,10,Lesson-24862978,,HVAC 4,HVAC,HVAC,4
15,02-Office-Hours-15-May-28-2021,11-Lesson-24863017.md,11,Lesson-24863017,,HVAC 6,HVAC,HVAC,6
15,02-Office-Hours-15-May-28-2021,12-Lesson-24862976.md,12,Lesson-24862976,,Systems 25,HVAC,Systems and Components,25
16,03-Office-Hours-16-June-18-2021,00-Lesson-25478229.md,0,Lesson-25478229,,1. FLUIDS-8,HVAC,Fluids,8
16,03-Office-Hours-16-June-18-2021,01-Lesson-25478294.md,1,Lesson-25478294,,2. FLUIDS-14,HVAC,Fluids,14
16,03-Office-Hours-16-June-18-2021,02-Lesson-25478291.md,2,Lesson-25478291,,3. FLUIDS-21,HVAC,Fluids,21
16,03-Office-Hours-16-June-18-2021,03-Lesson-25478228.md,3,Lesson-25478228,,4. FLUIDS-22,HVAC,Fluids,22
16,03-Office-Hours-16-June-18-2021,04-Lesson-25478293.md,4,Lesson-25478293,,5. FLUIDS-26,HVAC,Fluids,26
16,03-Office-Hours-16-June-18-2021,05-Lesson-25478233.md,5,Lesson-25478233,,6. HEAT_TRANSFER-10,HVAC,Heat Transfer,10
16,03-Office-Hours-16-June-18-2021,06-Lesson-25478240.md,6,Lesson-25478240,,7. HVAC-04,HVAC,HVAC,04
16,03-Office-Hours-16-June-18-2021,07-Lesson-25478295.md,7,Lesson-25478295,,8. SYSTEMS-19,HVAC,Systems and Components,19
16,03-Office-Hours-16-June-18-2021,08-Lesson-25478287.md,8,Lesson-25478287,,9. SYSTEMS-21,HVAC,Systems and Components,21
16,03-Office-Hours-16-June-18-2021,10-Lesson-25478285.md,10,Lesson-25478285,,11. HVAC-16,HVAC,HVAC,16
17,04-Office-Hours-17-July-2-2021,00-Lesson-25883089.md,0,Lesson-25883089,,OH17-01-HVAC_Solutions-21,HVAC,HVAC,21
18,05-Office-Hours-18-July-16-2021,00-Lesson-26324511.md,0,Lesson-26324511,,OH18-1-THERMO-8,HVAC,Thermodynamics,8
18,05-Office-Hours-18-July-16-2021,01-Lesson-26324607.md,1,Lesson-26324607,,OH18-02-THERMO-12,HVAC,Thermodynamics,12
18,05-Office-Hours-18-July-16-2021,02-Lesson-26324608.md,2,Lesson-26324608,,OH18-03-THERMO-22,HVAC,Thermodynamics,22
18,05-Office-Hours-18-July-16-2021,03-Lesson-26324521.md,3,Lesson-26324521,,OH18-04-HEAT_TRANSFER-19,HVAC,Heat Transfer,19
18,05-Office-Hours-18-July-16-2021,04-Lesson-26324453.md,4,Lesson-26324453,,OH18-06-HVAC-25,HVAC,HVAC,25
18,05-Office-Hours-18-July-16-2021,05-Lesson-26324452.md,5,Lesson-26324452,,OH18-05-HVAC-01,HVAC,HVAC,01
18,05-Office-Hours-18-July-16-2021,06-Lesson-26324498.md,6,Lesson-26324498,,OH18-07-SYSTEMS-01,HVAC,Systems and Components,01
18,05-Office-Hours-18-July-16-2021,07-Lesson-26324570.md,7,Lesson-26324570,,OH18-08-SYSTEMS-02,HVAC,Systems and Components,02
18,05-Office-Hours-18-July-16-2021,08-Lesson-26324647.md,8,Lesson-26324647,,OH18-09-SYSTEMS-18,HVAC,Systems and Components,18
19,06-Office-Hours-19-July-30-2021,00-Lesson-26631947.md,0,Lesson-26631947,,OH19-01-Heat_Transfer-7,HVAC,Heat Transfer,7
19,06-Office-Hours-19-July-30-2021,01-Lesson-26631948.md,1,Lesson-26631948,,OH19-02-Heat_Transfer-10,HVAC,Heat Transfer,10
19,06-Office-Hours-19-July-30-2021,02-Lesson-26631916.md,2,Lesson-26631916,,OH19-03-Heat_Transfer-19,HVAC,Heat Transfer,19
19,06-Office-Hours-19-July-30-2021,03-Lesson-26631902.md,3,Lesson-26631902,,OH19-04-Heat_Transfer-22,HVAC,Heat Transfer,22
19,06-Office-Hours-19-July-30-2021,04-Lesson-26631954.md,4,Lesson-26631954,,OH19-05-HVAC-3,HVAC,HVAC,3
19,06-Office-Hours-19-July-30-2021,05-Lesson-26631969.md,5,Lesson-26631969,,OH19-06-HVAC-10,HVAC,HVAC,10
19,06-Office-Hours-19-July-30-2021,06-Lesson-26631950.md,6,Lesson-26631950,,OH19-07-HVAC-14,HVAC,HVAC,14
19,06-Office-Hours-19-July-30-2021,07-Lesson-26631931.md,7,Lesson-26631931,,OH19-08-HVAC-19,HVAC,HVAC,19
19,06-Office-Hours-19-July-30-2021,08-Lesson-26631940.md,8,Lesson-26631940,,OH19-09-Systems-4,HVAC,Systems and Components,4
19,06-Office-Hours-19-July-30-2021,09-Lesson-26631943.md,9,Lesson-26631943,,OH19-10-Systems-22,HVAC,Systems and Components,22
20,07-Office-Hours-20-August-13-2021,00-Lesson-27016742.md,0,Lesson-27016742,,OH20-1-HVAC-3,HVAC,HVAC,3
20,07-Office-Hours-20-August-13-2021,01-Lesson-27016747.md,1,Lesson-27016747,,OH20-2-HVAC-4,HVAC,HVAC,4
20,07-Office-Hours-20-August-13-2021,02-Lesson-27016745.md,2,Lesson-27016745,,OH20-3-HVAC-14,HVAC,HVAC,14
20,07-Office-Hours-20-August-13-2021,03-Lesson-27016748.md,3,Lesson-27016748,,OH20-4-Systems-3,HVAC,Systems and Components,3
20,07-Office-Hours-20-August-13-2021,04-Lesson-27016746.md,4,Lesson-27016746,,OH20-5-Systems-6,HVAC,Systems and Components,6
